id,age,sex,story_id,test_type,story,decision,mist,sit,Factors
2,23,Nő,7,baq,Néha vezetek.,NA,NA,0,Dropped
2,23,Nő,8,baq,Néha időre oda kell érnem valahova.,0,1,1,Dropped
2,23,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
2,23,Nő,10,baq,Néha sok feladatom van.,0,4,1,PlanningError
2,23,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,5,1,Dropped
2,23,Nő,12,baq,Néha kulcsot kell magammal vinnem.,1,1,1,Dropped
2,23,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,1,Dropped
2,23,Nő,14,baq,Néha magammal kell vinnem a bérletem.,1,1,1,Dropped
2,23,Nő,15,baq,Általában időre kell befizetnem számlákat.,1,4,1,Dropped
2,23,Nő,16,baq,Néha időre kell odaérnem valahova.,1,1,1,Dropped
2,23,Nő,17,baq,Néha valamit meg kell tanulnom.,1,2,1,PlanningError
2,23,Nő,18,baq,Néha ruhát vásárolok.,0,2,1,Dropped
2,23,Nő,19,baq,Néha vitatkozom emberekkel.,1,1,1,Dropped
2,23,Nő,20,baq,Néha találkozom új emberekkel.,0,1,1,Dropped
2,23,Nő,21,baq,Néha fontos megjelennem valahol.,1,1,1,Dropped
2,23,Nő,22,baq,Néha főzök vagy sütök valamit.,1,1,1,Dropped
2,23,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,1,1,1,Dropped
2,23,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,0,1,1,Dropped
2,23,Nő,25,baq,Néha tömegközlekedéssel utazom.,0,1,1,Inattention
2,23,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,1,Dropped
2,23,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,0,1,1,Inattention
2,23,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,1,1,Dropped
3,19,Nő,1,baq,Néha reggel időre kell beérnem.,1,5,1,PlanningError
3,19,Nő,2,baq,Néha pénzügyeket intézek.,0,2,1,Inattention
3,19,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,0,1,1,PlanningError
3,19,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,1,Inattention
3,19,Nő,5,baq,Néha sétálok.,1,1,1,Inattention
3,19,Nő,6,baq,Néha értéktárgyak vannak nálam.,0,2,1,Dropped
3,19,Nő,7,baq,Néha vezetek.,1,1,1,Dropped
3,19,Nő,8,baq,Néha időre oda kell érnem valahova.,0,2,1,Dropped
3,19,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,2,1,Dropped
3,19,Nő,10,baq,Néha sok feladatom van.,1,4,1,PlanningError
3,19,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,2,1,Dropped
3,19,Nő,12,baq,Néha kulcsot kell magammal vinnem.,0,1,1,Dropped
3,19,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,2,1,Dropped
3,19,Nő,14,baq,Néha magammal kell vinnem a bérletem.,0,1,1,Dropped
3,19,Nő,15,baq,Általában időre kell befizetnem számlákat.,0,2,1,Dropped
3,19,Nő,16,baq,Néha időre kell odaérnem valahova.,0,2,1,Dropped
3,19,Nő,17,baq,Néha valamit meg kell tanulnom.,1,1,1,PlanningError
3,19,Nő,18,baq,Néha ruhát vásárolok.,0,1,1,Dropped
3,19,Nő,19,baq,Néha vitatkozom emberekkel.,1,1,1,Dropped
3,19,Nő,20,baq,Néha találkozom új emberekkel.,0,1,1,Dropped
3,19,Nő,21,baq,Néha fontos megjelennem valahol.,1,2,1,Dropped
3,19,Nő,22,baq,Néha főzök vagy sütök valamit.,0,1,1,Dropped
3,19,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,0,1,1,Dropped
3,19,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,0,1,1,Dropped
3,19,Nő,25,baq,Néha tömegközlekedéssel utazom.,0,2,1,Inattention
3,19,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,1,Dropped
3,19,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,0,2,1,Inattention
3,19,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,3,1,Dropped
4,20,Nő,1,baq,Néha reggel időre kell beérnem.,0,4,1,PlanningError
4,20,Nő,2,baq,Néha pénzügyeket intézek.,NA,NA,0,Inattention
4,20,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,1,1,1,PlanningError
4,20,Nő,4,baq,Néha hivatalos ügyet intézek.,NA,NA,0,Inattention
4,20,Nő,5,baq,Néha sétálok.,0,3,1,Inattention
4,20,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,2,1,Dropped
4,20,Nő,7,baq,Néha vezetek.,NA,NA,0,Dropped
4,20,Nő,8,baq,Néha időre oda kell érnem valahova.,1,2,1,Dropped
4,20,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,2,1,Dropped
4,20,Nő,10,baq,Néha sok feladatom van.,1,5,1,PlanningError
4,20,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,2,1,Dropped
4,20,Nő,12,baq,Néha kulcsot kell magammal vinnem.,1,1,1,Dropped
4,20,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,NA,NA,0,Dropped
4,20,Nő,14,baq,Néha magammal kell vinnem a bérletem.,1,1,1,Dropped
4,20,Nő,15,baq,Általában időre kell befizetnem számlákat.,NA,NA,0,Dropped
4,20,Nő,16,baq,Néha időre kell odaérnem valahova.,1,1,1,Dropped
4,20,Nő,17,baq,Néha valamit meg kell tanulnom.,1,2,1,PlanningError
4,20,Nő,18,baq,Néha ruhát vásárolok.,1,2,1,Dropped
4,20,Nő,19,baq,Néha vitatkozom emberekkel.,0,1,1,Dropped
4,20,Nő,20,baq,Néha találkozom új emberekkel.,1,2,1,Dropped
4,20,Nő,21,baq,Néha fontos megjelennem valahol.,1,2,1,Dropped
4,20,Nő,22,baq,Néha főzök vagy sütök valamit.,1,2,1,Dropped
4,20,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,1,1,1,Dropped
4,20,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,0,3,1,Dropped
4,20,Nő,25,baq,Néha tömegközlekedéssel utazom.,1,3,1,Inattention
4,20,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,1,Dropped
4,20,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,NA,NA,0,Inattention
4,20,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",1,2,1,Dropped
5,21,Nő,1,baq,Néha reggel időre kell beérnem.,1,1,1,PlanningError
5,21,Nő,2,baq,Néha pénzügyeket intézek.,NA,NA,0,Inattention
5,21,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,0,1,1,PlanningError
5,21,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,1,Inattention
5,21,Nő,5,baq,Néha sétálok.,0,1,1,Inattention
5,21,Nő,6,baq,Néha értéktárgyak vannak nálam.,0,2,1,Dropped
5,21,Nő,7,baq,Néha vezetek.,1,1,1,Dropped
5,21,Nő,8,baq,Néha időre oda kell érnem valahova.,0,1,1,Dropped
5,21,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,NA,NA,0,Dropped
5,21,Nő,10,baq,Néha sok feladatom van.,0,2,1,PlanningError
5,21,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,NA,NA,0,Dropped
5,21,Nő,12,baq,Néha kulcsot kell magammal vinnem.,0,1,1,Dropped
5,21,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,2,2,1,Dropped
5,21,Nő,14,baq,Néha magammal kell vinnem a bérletem.,0,1,1,Dropped
5,21,Nő,15,baq,Általában időre kell befizetnem számlákat.,NA,NA,0,Dropped
5,21,Nő,16,baq,Néha időre kell odaérnem valahova.,0,1,1,Dropped
5,21,Nő,17,baq,Néha valamit meg kell tanulnom.,1,2,1,PlanningError
5,21,Nő,18,baq,Néha ruhát vásárolok.,0,1,1,Dropped
5,21,Nő,19,baq,Néha vitatkozom emberekkel.,NA,NA,0,Dropped
5,21,Nő,20,baq,Néha találkozom új emberekkel.,1,1,1,Dropped
5,21,Nő,21,baq,Néha fontos megjelennem valahol.,1,1,1,Dropped
5,21,Nő,22,baq,Néha főzök vagy sütök valamit.,0,1,1,Dropped
5,21,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,0,1,1,Dropped
5,21,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,NA,NA,0,Dropped
5,21,Nő,25,baq,Néha tömegközlekedéssel utazom.,0,3,1,Inattention
5,21,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,NA,NA,0,Dropped
5,21,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,0,1,1,Inattention
5,21,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,3,1,Dropped
6,21,Férfi,1,baq,Néha reggel időre kell beérnem.,0,2,1,PlanningError
6,21,Férfi,2,baq,Néha pénzügyeket intézek.,1,1,1,Inattention
6,21,Férfi,3,baq,Néha határidőre kell valamit elkészítenem.,1,1,1,PlanningError
6,21,Férfi,4,baq,Néha hivatalos ügyet intézek.,1,2,1,Inattention
6,21,Férfi,5,baq,Néha sétálok.,1,2,1,Inattention
6,21,Férfi,6,baq,Néha értéktárgyak vannak nálam.,1,1,1,Dropped
6,21,Férfi,7,baq,Néha vezetek.,1,1,1,Dropped
6,21,Férfi,8,baq,Néha időre oda kell érnem valahova.,1,1,1,Dropped
6,21,Férfi,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
6,21,Férfi,10,baq,Néha sok feladatom van.,0,2,1,PlanningError
6,21,Férfi,11,baq,Néha előre kell terveznem a kiadásaimmal.,0,2,1,Dropped
6,21,Férfi,12,baq,Néha kulcsot kell magammal vinnem.,0,2,1,Dropped
6,21,Férfi,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,1,Dropped
6,21,Férfi,14,baq,Néha magammal kell vinnem a bérletem.,1,1,1,Dropped
6,21,Férfi,15,baq,Általában időre kell befizetnem számlákat.,1,1,1,Dropped
6,21,Férfi,16,baq,Néha időre kell odaérnem valahova.,0,2,1,Dropped
6,21,Férfi,17,baq,Néha valamit meg kell tanulnom.,0,2,1,PlanningError
6,21,Férfi,18,baq,Néha ruhát vásárolok.,1,1,1,Dropped
6,21,Férfi,19,baq,Néha vitatkozom emberekkel.,1,1,1,Dropped
6,21,Férfi,20,baq,Néha találkozom új emberekkel.,0,1,1,Dropped
6,21,Férfi,21,baq,Néha fontos megjelennem valahol.,0,4,1,Dropped
6,21,Férfi,22,baq,Néha főzök vagy sütök valamit.,NA,NA,0,Dropped
6,21,Férfi,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,1,1,1,Dropped
6,21,Férfi,24,baq,Néha jelentkezési lapot kell beadnom.,1,1,1,Dropped
6,21,Férfi,25,baq,Néha tömegközlekedéssel utazom.,0,1,1,Inattention
6,21,Férfi,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,1,Dropped
6,21,Férfi,27,baq,Néha fontos információkat kell átadni másoknak.,1,1,1,Inattention
6,21,Férfi,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,3,1,Dropped
7,20,Nő,1,baq,Néha reggel időre kell beérnem.,2,5,1,PlanningError
7,20,Nő,2,baq,Néha pénzügyeket intézek.,0,1,1,Inattention
7,20,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,1,1,1,PlanningError
7,20,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,1,Inattention
7,20,Nő,5,baq,Néha sétálok.,0,1,1,Inattention
7,20,Nő,6,baq,Néha értéktárgyak vannak nálam.,2,1,1,Dropped
7,20,Nő,7,baq,Néha vezetek.,NA,NA,0,Dropped
7,20,Nő,8,baq,Néha időre oda kell érnem valahova.,0,1,1,Dropped
7,20,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
7,20,Nő,10,baq,Néha sok feladatom van.,2,4,1,PlanningError
7,20,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,0,2,1,Dropped
7,20,Nő,12,baq,Néha kulcsot kell magammal vinnem.,0,2,1,Dropped
7,20,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,1,Dropped
7,20,Nő,14,baq,Néha magammal kell vinnem a bérletem.,0,1,1,Dropped
7,20,Nő,15,baq,Általában időre kell befizetnem számlákat.,NA,NA,0,Dropped
7,20,Nő,16,baq,Néha időre kell odaérnem valahova.,0,1,1,Dropped
7,20,Nő,17,baq,Néha valamit meg kell tanulnom.,1,2,1,PlanningError
7,20,Nő,18,baq,Néha ruhát vásárolok.,2,2,1,Dropped
7,20,Nő,19,baq,Néha vitatkozom emberekkel.,2,1,1,Dropped
7,20,Nő,20,baq,Néha találkozom új emberekkel.,0,1,1,Dropped
7,20,Nő,21,baq,Néha fontos megjelennem valahol.,1,1,1,Dropped
7,20,Nő,22,baq,Néha főzök vagy sütök valamit.,0,1,1,Dropped
7,20,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,0,1,1,Dropped
7,20,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,0,1,1,Dropped
7,20,Nő,25,baq,Néha tömegközlekedéssel utazom.,1,1,1,Inattention
7,20,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,2,1,Dropped
7,20,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,2,1,1,Inattention
7,20,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",2,1,1,Dropped
8,21,Férfi,1,baq,Néha reggel időre kell beérnem.,0,5,1,PlanningError
8,21,Férfi,2,baq,Néha pénzügyeket intézek.,NA,NA,0,Inattention
8,21,Férfi,3,baq,Néha határidőre kell valamit elkészítenem.,0,1,1,PlanningError
8,21,Férfi,4,baq,Néha hivatalos ügyet intézek.,0,1,1,Inattention
8,21,Férfi,5,baq,Néha sétálok.,2,2,1,Inattention
8,21,Férfi,6,baq,Néha értéktárgyak vannak nálam.,1,4,1,Dropped
8,21,Férfi,7,baq,Néha vezetek.,NA,NA,0,Dropped
8,21,Férfi,8,baq,Néha időre oda kell érnem valahova.,0,2,1,Dropped
8,21,Férfi,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
8,21,Férfi,10,baq,Néha sok feladatom van.,2,4,1,PlanningError
8,21,Férfi,11,baq,Néha előre kell terveznem a kiadásaimmal.,NA,NA,0,Dropped
8,21,Férfi,12,baq,Néha kulcsot kell magammal vinnem.,0,1,1,Dropped
8,21,Férfi,13,baq,Néha egy fontos találkozóra kell odaérnem.,0,2,1,Dropped
8,21,Férfi,14,baq,Néha magammal kell vinnem a bérletem.,0,1,1,Dropped
8,21,Férfi,15,baq,Általában időre kell befizetnem számlákat.,NA,NA,0,Dropped
8,21,Férfi,16,baq,Néha időre kell odaérnem valahova.,0,2,1,Dropped
8,21,Férfi,17,baq,Néha valamit meg kell tanulnom.,0,2,1,PlanningError
8,21,Férfi,18,baq,Néha ruhát vásárolok.,0,2,1,Dropped
8,21,Férfi,19,baq,Néha vitatkozom emberekkel.,2,1,1,Dropped
8,21,Férfi,20,baq,Néha találkozom új emberekkel.,0,1,1,Dropped
8,21,Férfi,21,baq,Néha fontos megjelennem valahol.,1,2,1,Dropped
8,21,Férfi,22,baq,Néha főzök vagy sütök valamit.,NA,NA,0,Dropped
8,21,Férfi,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,1,1,1,Dropped
8,21,Férfi,24,baq,Néha jelentkezési lapot kell beadnom.,0,1,1,Dropped
8,21,Férfi,25,baq,Néha tömegközlekedéssel utazom.,0,1,1,Inattention
8,21,Férfi,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,1,Dropped
8,21,Férfi,27,baq,Néha fontos információkat kell átadni másoknak.,0,2,1,Inattention
8,21,Férfi,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,2,1,Dropped
9,20,Nő,1,baq,Néha reggel időre kell beérnem.,1,1,1,PlanningError
9,20,Nő,2,baq,Néha pénzügyeket intézek.,1,2,1,Inattention
9,20,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,0,2,1,PlanningError
9,20,Nő,4,baq,Néha hivatalos ügyet intézek.,0,2,1,Inattention
9,20,Nő,5,baq,Néha sétálok.,1,1,1,Inattention
9,20,Nő,6,baq,Néha értéktárgyak vannak nálam.,0,2,1,Dropped
9,20,Nő,7,baq,Néha vezetek.,1,1,1,Dropped
9,20,Nő,8,baq,Néha időre oda kell érnem valahova.,0,2,1,Dropped
9,20,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
9,20,Nő,10,baq,Néha sok feladatom van.,1,2,1,PlanningError
9,20,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,2,1,Dropped
9,20,Nő,12,baq,Néha kulcsot kell magammal vinnem.,1,2,1,Dropped
9,20,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,0,2,1,Dropped
9,20,Nő,14,baq,Néha magammal kell vinnem a bérletem.,0,2,1,Dropped
9,20,Nő,15,baq,Általában időre kell befizetnem számlákat.,0,2,1,Dropped
9,20,Nő,16,baq,Néha időre kell odaérnem valahova.,0,2,1,Dropped
9,20,Nő,17,baq,Néha valamit meg kell tanulnom.,1,2,1,PlanningError
9,20,Nő,18,baq,Néha ruhát vásárolok.,1,1,1,Dropped
9,20,Nő,19,baq,Néha vitatkozom emberekkel.,1,2,1,Dropped
9,20,Nő,20,baq,Néha találkozom új emberekkel.,0,2,1,Dropped
9,20,Nő,21,baq,Néha fontos megjelennem valahol.,1,2,1,Dropped
9,20,Nő,22,baq,Néha főzök vagy sütök valamit.,2,1,1,Dropped
9,20,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,0,2,1,Dropped
9,20,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,1,2,1,Dropped
9,20,Nő,25,baq,Néha tömegközlekedéssel utazom.,0,2,1,Inattention
9,20,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,0,2,1,Dropped
9,20,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,0,2,1,Inattention
9,20,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,2,1,Dropped
10,20,Nő,1,baq,Néha reggel időre kell beérnem.,1,1,1,PlanningError
10,20,Nő,2,baq,Néha pénzügyeket intézek.,1,2,1,Inattention
10,20,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,1,2,1,PlanningError
10,20,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,1,Inattention
10,20,Nő,5,baq,Néha sétálok.,1,1,1,Inattention
10,20,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,1,1,Dropped
10,20,Nő,7,baq,Néha vezetek.,1,1,1,Dropped
10,20,Nő,8,baq,Néha időre oda kell érnem valahova.,1,1,1,Dropped
10,20,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
10,20,Nő,10,baq,Néha sok feladatom van.,1,2,1,PlanningError
10,20,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,0,2,1,Dropped
10,20,Nő,12,baq,Néha kulcsot kell magammal vinnem.,0,1,1,Dropped
10,20,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,1,Dropped
10,20,Nő,14,baq,Néha magammal kell vinnem a bérletem.,1,1,1,Dropped
10,20,Nő,15,baq,Általában időre kell befizetnem számlákat.,1,1,1,Dropped
10,20,Nő,16,baq,Néha időre kell odaérnem valahova.,0,3,1,Dropped
10,20,Nő,17,baq,Néha valamit meg kell tanulnom.,1,2,1,PlanningError
10,20,Nő,18,baq,Néha ruhát vásárolok.,1,1,1,Dropped
10,20,Nő,19,baq,Néha vitatkozom emberekkel.,1,1,1,Dropped
10,20,Nő,20,baq,Néha találkozom új emberekkel.,0,2,1,Dropped
10,20,Nő,21,baq,Néha fontos megjelennem valahol.,1,2,1,Dropped
10,20,Nő,22,baq,Néha főzök vagy sütök valamit.,1,1,1,Dropped
10,20,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,1,2,1,Dropped
10,20,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,1,1,1,Dropped
10,20,Nő,25,baq,Néha tömegközlekedéssel utazom.,0,2,1,Inattention
10,20,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,1,Dropped
10,20,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,1,1,1,Inattention
10,20,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,2,1,Dropped
11,22,Nő,1,baq,Néha reggel időre kell beérnem.,1,4,1,PlanningError
11,22,Nő,2,baq,Néha pénzügyeket intézek.,0,1,1,Inattention
11,22,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,0,2,1,PlanningError
11,22,Nő,4,baq,Néha hivatalos ügyet intézek.,NA,NA,0,Inattention
11,22,Nő,5,baq,Néha sétálok.,0,1,1,Inattention
11,22,Nő,6,baq,Néha értéktárgyak vannak nálam.,0,1,1,Dropped
11,22,Nő,7,baq,Néha vezetek.,NA,NA,0,Dropped
11,22,Nő,8,baq,Néha időre oda kell érnem valahova.,0,1,1,Dropped
11,22,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
11,22,Nő,10,baq,Néha sok feladatom van.,1,3,1,PlanningError
11,22,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,2,1,Dropped
11,22,Nő,12,baq,Néha kulcsot kell magammal vinnem.,NA,NA,0,Dropped
11,22,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,0,1,1,Dropped
11,22,Nő,14,baq,Néha magammal kell vinnem a bérletem.,0,1,1,Dropped
11,22,Nő,15,baq,Általában időre kell befizetnem számlákat.,NA,NA,0,Dropped
11,22,Nő,16,baq,Néha időre kell odaérnem valahova.,0,1,1,Dropped
11,22,Nő,17,baq,Néha valamit meg kell tanulnom.,1,3,1,PlanningError
11,22,Nő,18,baq,Néha ruhát vásárolok.,2,1,1,Dropped
11,22,Nő,19,baq,Néha vitatkozom emberekkel.,1,3,1,Dropped
11,22,Nő,20,baq,Néha találkozom új emberekkel.,1,2,1,Dropped
11,22,Nő,21,baq,Néha fontos megjelennem valahol.,0,1,1,Dropped
11,22,Nő,22,baq,Néha főzök vagy sütök valamit.,NA,NA,0,Dropped
11,22,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,2,1,1,Dropped
11,22,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,2,1,1,Dropped
11,22,Nő,25,baq,Néha tömegközlekedéssel utazom.,0,1,1,Inattention
11,22,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,0,1,1,Dropped
11,22,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,NA,NA,0,Inattention
11,22,Nő,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",0,2,1,Dropped
12,19,Nő,1,baq,Néha reggel időre kell beérnem.,1,2,1,PlanningError
12,19,Nő,2,baq,Néha pénzügyeket intézek.,NA,NA,0,Inattention
12,19,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,0,1,1,PlanningError
12,19,Nő,4,baq,Néha hivatalos ügyet intézek.,1,3,1,Inattention
12,19,Nő,5,baq,Néha sétálok.,0,1,1,Inattention
12,19,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,4,1,Dropped
12,19,Nő,7,baq,Néha vezetek.,1,1,1,Dropped
12,19,Nő,8,baq,Néha időre oda kell érnem valahova.,0,2,1,Dropped
12,19,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,0,1,1,Dropped
12,19,Nő,10,baq,Néha sok feladatom van.,0,3,1,PlanningError
12,19,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,NA,NA,0,Dropped
12,19,Nő,12,baq,Néha kulcsot kell magammal vinnem.,0,4,1,Dropped
12,19,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,1,Dropped
12,19,Nő,14,baq,Néha magammal kell vinnem a bérletem.,0,1,1,Dropped
12,19,Nő,15,baq,Általában időre kell befizetnem számlákat.,NA,NA,0,Dropped
12,19,Nő,16,baq,Néha időre kell odaérnem valahova.,0,1,1,Dropped
12,19,Nő,17,baq,Néha valamit meg kell tanulnom.,1,2,1,PlanningError
12,19,Nő,18,baq,Néha ruhát vásárolok.,0,1,1,Dropped
12,19,Nő,19,baq,Néha vitatkozom emberekkel.,NA,NA,0,Dropped
12,19,Nő,20,baq,Néha találkozom új emberekkel.,1,4,1,Dropped
12,19,Nő,21,baq,Néha fontos megjelennem valahol.,1,1,1,Dropped
